title,abstract,doi
On The Imaging Of Reflectors In The Earth,"In this paper, I present a modification of the Beylkin inversion operator. This modification accounts for the band‐limited nature of the data and makes the role of discontinuities in the sound speed more precise. The inversion presented here partially dispenses with the small‐parameter constraint of the Born approximation. This is shown by applying the proposed inversion operator to upward scattered data represented by the Kirchhoff approximation, using the angularly dependent geometrical‐optics reflection coefficient. A fully nonlinear estimate of the jump in sound speed may be extracted from the output of this algorithm interpreted in the context of these Kirchhoff‐approximate data for the forward problem. The inversion of these data involves integration over the source‐receiver surface, the reflecting surface, and frequency. The spatial integrals are computed by the method of stationary phase. The output is asymptotically a scaled singular function of the reflecting surface. The singular function of a surface is a Dirac delta function whose support is on the surface. Thus, knowledge of the singular functions is equivalent to mathematical imaging of the reflector. The scale factor multiplying the singular function is proportional to the geometrical‐optics reflection coefficient. In addition to its dependence on the variations in sound speed, this reflection coefficient depends on an opening angle between rays from a source and receiver pair to the reflector. I show how to determine this unknown angle. With the angle determined, the reflection coefficient contains only the sound speed below the reflector as an unknown, and it can be determined. A recursive application of the inversion formalism is possible. That is, starting from the upper surface, each time a major reflector is imaged, the background sound speed is updated to account for the new information and data are processed deeper into the section until a new major reflector is imaged. Hence, the present inversion formalism lends itself to this type of recursive implementation. The inversion proposed here takes the form of a Kirchhoff migration of filtered data traces, with the space‐domain amplitude and frequency‐domain filter deduced from the inversion theory. Thus, one could view this type of inversion and parameter estimation as a Kirchhoff migration with careful attention to amplitude.",10.1190/1.1442363
Fault Slicing—A New Approach To The Interpretation Of Fault Detail,"The manner in which a fault intersects a hydrocarbon reservoir affects production characteristics and thus must be understood in great detail. A 3-D seismic data volume can be sliced interactively to yield seismic sections parallel to a fault plane. These fault slices can then be used in several ways for the study of faults. Tracking of correlative horizons on fault slices provides a map of fault throw and permits study of the throw as a function of vertical traveltime and horizontal position. Because a fault slice remains within one major fault block, the study of growth relationships in that block is facilitated. Splinter faults, which are also significant in development and production, can be studied effectively on fault slices because of the uniform proximity of these sections to the parent fault. We conclude that there is some uniformity in azimuth between splinter faults and their parent.",10.1190/1.1442245
A Total Field Magnetometer For Mobile Operation,"A magnetometer which measures the earth's total magnetic field is described. The detector or measuring element of the magnetometer contains three mutually perpendicular elements, two of which are utilized to orient the third, which in turn operates a recording device to record the total magnetic field. The detector elements are of the inductive type and do not require ferromagnetic material to give them the high sensitivity required in geophysical work. The presence of a magnetic field in the region of the detector causes alternating currents to be generated in the detector elements. These currents are amplified to actuate motors which control the orienting and neutralizing functions of the magnetometer. A tape recorder gives continuous field readings. The accuracy of the magnetic data taken is better than five gammas.",10.1190/1.1437393
Kinematics Of Crossline Prestack Migration,"Among the reasons for considering optional seismic processes such as dip moveout (DMO) or prestack migration is the fact that two reflections with the same arrival time may require different stacking velocities in order to produce an acceptable image. For example, inline dip tends to increase the required stacking velocity, and DMO can be applied to correct this effect. Crossline dip has no direct effect on stacking velocity, but, because average velocity tends to increase with depth, a dipping reflection broadside to a seismic line will tend to require a lower stacking velocity than an in‐plane reflection with the same time of arrival. This problem is not addressed by DMO, but it can be handled by what I call ""crossline prestack migration.""",10.1190/1.1442978
A Comparison Of Seismic Trace Summing Techniques,"The results of an analysis and comparison of mantissa only, sign bit, true amplitude, automatic volume control, and diversity stack signal trace summations are presented. The results show that under conditions frequently encountered for low‐level sources, all these summation methods preserve the fidelity of input signals to within a time variant scale factor. The value of the signal‐to‐noise (S/N) average power ratio of the true amplitude summer is shown to be much more sensitive to intertrace noise variance differences than the other summing techniques. Excessive signal distortion may occur for mantissa only or sign bit summers when instantaneous input signal magnitude is large in comparison with the input noise standard deviations of the summed data. There will be no significant differences in the performance of mantissa only and sign bit summers under conditions frequently encountered for low‐level sources. The effects of signal summation methods are not directly dependent upon any instantaneous gain ranging characteristics of the amplifier used to create the input data.",10.1190/1.1441104
A Comparison Of Electromagnetic Exploration Systems,"Electromagnetic (EM) exploration systems fall into three distinct classes, (1) frequency domain, (2) impulse response, and (3) step response, and have overall frequency responses that approximate f+1, f0, and f-1. To examine further these three classes, the transfer function of a frequency‐domain system, and the step and impulse response functions of ideal time‐domain EM systems (TEM), are derived in terms of a single set of target‐specific parameters. The inductive time constants of practical exploration targets extend over three orders of magnitude, imposing severe constraints on practical exploration systems. Field data demonstrate that the impulse TEM response from a conductive half‐space may show a 100‐fold spatial variability at early times (≲1 ms) and then will decrease to a two‐fold variability at late times ( ⩾4 ms). This differential variability influences the ability of an EM system to detect an exploration target. For a half‐space where the impulse response varies as t-k, an inductive target of time constant τ exhibits the greatest contrast to the half‐space at a delay time of kτ for an impulse‐response system, and at (k-1)τ for a step‐response system.",10.1190/1.1442133
Static Image Principle For Anisotropic‐Conducting Half‐Space Problems: Pec And Pmc Boundaries,"The image principle for an isotropic half‐space bounded by perfect electric conductor (PEC) or perfect magnetic conductor (PMC) plane is presented in most elementary textbooks on electromagnetics. It is perhaps not so well known that this principle can also be generalized to anisotropic media in the static case, because it is not covered in leading monographs of geoelectromagnetics (Wait, 1982; Negi and Saraf, 1989; Eskola, 1992). The anisotropic image method can be applied to geologic media that exhibit anisotropic electrical conductivity caused by the fractures and fissures in the rock. Such structures are important in the sites for disposal of nuclear waste. The characterization of these structures by electrical geophysical methods is very essential because they form the main paths for groundwater flow. The air‐ground boundary can be treated as a PMC plane representing the nonconducting medium. Otherwise the medium is assumed to be linear (ohmic) and homogeneous in terms of electrical conductivity. The image method presented is also relevant to problems arising in the traditional ore prospecting where a conducting ore body buried in an electrically anisotropic host rock generates secondary electric fields (Asten, 1974; Eloranta, 1988).",10.1190/1.1443401
Toward Continuous 4D Microgravity Monitoring Of Volcanoes,"Four-dimensional or time-lapse microgravity monitoring has been used effectively on volcanoes for decades to characterize the changes in subsurface volcanic systems. With measurements typically lasting from a few days to weeks and then repeated a year later, the spatial resolution of theses studies is often at the expense of temporal resolution and vice versa. Continuous gravity studies with one to two instruments operating for a short period of time (weeks to months) have shown enticing evidence of very rapid changes in the volcanic plumbing system (minutes to hours) and in one case precursory signals leading to eruptive activity were detected. The need for true multi-instrument networks is clear if we are to have both the temporal and spatial reso-lution needed for effective volcano monitoring. However, the high cost of these instruments is currently limiting the implementation of continuous microgravity networks. An interim approach to consider is the development of a collaborative network of researchers able to bring multiple instruments together at key volcanoes to investigate multitemporal physical changes in a few type volcanoes. However, to truly move forward, it is imperative that new low-cost instruments are developed to increase the number of instruments available at a single site. Only in this way can both the temporal and spatial integrity of monitoring be maintained. Integration of these instruments into a multiparameter network of continuously recording sensors is essential for effective volcano monitoring and hazard mitigation.",10.1190/1.2981185
Fracture Detection Using Crosswell And Single Well Surveys,"We recorded high‐resolution (1 to 10 kHz), crosswell and single well seismic data in a shallow (15 to 35 m), water‐saturated, fractured limestone sequence at Conoco's borehole test facility near Newkirk, Oklahoma. Our objective was to develop seismic methodologies for imaging gas‐filled fractures in naturally fractured gas reservoirs. The crosswell (1/4 m receiver spacing, 50 to 100 m well separation) surveys used a piezoelectric source and hydrophones before, during, and after an air injection that we designed to displace water from a fracture zone. Our intent was to increase the visibility of the fracture zone to seismic imaging and to confirm previous hydrologic data that indicated a preferred pathway. For the single well seismic imaging (a piezoelectric source and an eight‐element hydrophone array at 1/4 m spacing), we also recorded data before and after the air injection. The crosswell results indicate that the air did follow a preferred pathway that was predicted by hydrologic modeling. In addition, the single well seismic imaging using vertical common depth‐point (CDP) gathers indicated an anomaly consistent with the anomaly location of crosswell and hydrologic inversion results. Following the field tests, a slant well was drilled and cored to confirm the existence and nature of the rock associated with the seismic anomalies. A vertical fracture was intersected within less than 1 m of where the seismic results had predicted.",10.1190/1.1444160
Multiscale Deformable-Layer Tomography,"Traveltime tomography relies on broad ray-angle coverage to constrain the spatial location of velocity anomalies. When ray-angle coverage is narrow, cell or grid tomography can be plagued by smearing artifacts bearing imprints of the raypaths. Multiscale deformable-layer tomography (DLT), which inverts for the geometry of velocity interfaces instead of velocity, can be more effective than grid-based tomography in mitigating such artifacts, especially when velocity values are known for parts of the model. The DLT model consists of geologically sensible layers represented by triangular prisms. In areas of good ray coverage, DLT can be used to invert simultaneously for layer velocities as well as interface geometry. Tests of synthetic models of crosswell refraction, 2D tomostatics, and 3D vertical seismic profiling (VSP) first-arrival data sets show that DLT can produce solutions superior to those produced by cell- or grid-based tomography.",10.1190/1.2194519
Temporal Geophysical Signatures From Contaminant-Mass Remediation,"We have previously documented changes in bulk electrical conductivity, self-potential (SP), and ground-penetrating-radar (GPR) reflections in a field setting caused by biogeochemical transformations of hydrocarbon-contaminated media. These transformations are associated with hydrocarbon biodegradation. The results of surface geophysical surveys acquired in 1996, 2003, and 2007 document changes in geophysical signatures associated with removing hydrocarbon mass in the contaminated zone. Initial investigations in 1996 showed that relative to background, the contaminated area was characterized by higher bulk electrical conductivity, positive SP anomaly, and attenuated GPR reflections. Repeated surveys in 2003 and 2007 over the contaminated area showed that in 2007, the bulk electrical conductivityhad reverted to near-background conditions, the positive SP anomaly became more negative, and the zone of attenuated GPR reflections showed increased signal strength. Removal of hydrocarbon mass in the vadose zone over the plume by a soil vapor-extraction system installed in 2001 was primarily responsible for the changing geophysical responses. Although chemical data from groundwater showed a   3-m  -thick con-ductive plume in 2007, the plume was not imaged by elec-trical resistivity. Forward modeling suggests that apparent bulk electrical conductivity of the saturated zone plume has to be three to five times higher than background values to be imaged by electrical resistivity. We suggest that removing hydrocarbon-contaminant-mass reduction by natural or engineered bioremediation can be imaged effectively by temporal geophysical surveys.",10.1190/1.3139769
Accuracy Of Heterogeneous Staggered-Grid Finite-Difference Modeling Of Rayleigh Waves,"Heterogeneous finite-difference (FD) modeling assumes that the boundary conditions of the elastic wavefield between material discontinuities are implicitly fulfilled by the distribution of the elastic parameters on the numerical grid. It is widely applied to weak elastic contrasts between geologic formations inside the earth. We test the accuracy at the free surface of the earth. The accuracy for modeling Rayleigh waves using the conventional standard staggered-grid (SSG) and the rotated staggered grid (RSG) is investigated. The accuracy tests reveal that one cannot rely on conventional numerical dispersion discretization criteria. A higher sampling is necessary to obtain acceptable accuracy. In the case of planar free surfaces aligned with the grid, 15 to 30 grid points per minimum wavelength of the Rayleigh wave are required. The widely used explicit boundary condition, the so-called image method, produces similar accuracy and requires approximately half the sampling of the wavefield compared to heterogeneous free-surface modeling. For a free-surface not aligned with the grid (surface topography), the error increases significantly and varies with the dip angle of the interface. For an irregular interface, the RSG scheme is more accurate than the SSG scheme. The RSG scheme, however, requires 60 grid points per minimum wavelength to achieve good accuracy for all dip angles. The high computation requirements for 3D simulations on such fine grids limit the application of heterogenous modeling in the presence of complex surface topography.",10.1190/1.2213051
Time-Domain Inversion Of Gpr Data Containing Attenuation Due To Conductive Losses,"Many seismic data processing and inversion techniques have been applied to ground-penetrating radar (GPR) data without including the wave field attenuation caused by conductive ground. Neglecting this attenuation often reduces inversion resolution. This paper introduces a GPR inversion technique that accounts for the effects of attenuation. The inversion is formulated in the time domain with the synthetic GPR waveforms calculated by a finite-element method (FEM). The Jacobian matrix can be computed efficiently with the same FEM forward modeling procedure. Synthetic data tests show that the inversion can generate high-resolution subsurface velocity profiles even with data containing strong random noise. The inversion can resolve small objects not readily visible in the waveforms. Further, the inversion yields a dielectric constant that can help to determine the types of material filling underground cavities.",10.1190/1.2335518
High‐Resolution Common‐Depth‐Point Reflection Profiling:Field Acquisition Parameter Design,"The results of a seismic reflection profiling exercise are strongly dependent upon parameters used in field recording. The choice of parameters is determined by objectives of the survey, available resources, and geologic locality. Some simple modeling and/or a walkaway noise survey are helpful in choice of field parameters. Filtering data before analog‐to‐digital conversion in the field can help overcome limitations in the dynamic range of the seismograph. Source and geophone arrays can be used to a limited extent in high‐resolution surveys to help attenuate ground roll. Proper planting of geophones can be an important factor in obtaining the flattest spectral response. Various seismic energy sources provide the flattest spectral response. Various seismic energy sources provide different spectral character and varying degrees of convenience and cost.",10.1190/1.1442088
2D Waveform Tomography Applied To Long-Streamer Mcs Data From The Scotian Slope,"Detailed velocity models of the earth's subsurface can be obtained through waveform tomography. The accuracy of the long-wavelength component of such velocity models, which is the background velocity field, is particularly sensitive to modeling low-frequency refracted waves that have long paths through target structures. Thus, field examples primarily have focused on the analysis of long-offset wide-angle data sets collected using autonomous receivers, in which refractions arrive at significantly earlier times than reflections. Modern marine acquisition with long streamers now offers the ability to record refracted waves with high spatial density and uniform source, both in shallow and deep water. We used 2D multichannel seismic (MCS) data acquired with a 9-km-long streamer over the Scotian Slope in water depths of ∼1600 m. The refracted arrivals, although mostly restricted to far-offset receivers, provided sufficient information to successfully invert for a high-resolution background velocity field. Using a frequency-domain acoustic code over frequencies from 8 to 24 Hz on two crossing profiles, we found that the limited refracted waves can constrain the velocity field above the depth of the turning waves (∼1.5 km below seafloor). Several important features were resolved by the waveform velocity model that were not present in the initial traveltime model. In particular, a high-velocity layer at 300 m below the seafloor, interpreted as gas hydrates, was imaged even where a characteristic bottom-simulating reflector was not visible. At 750-m depth, a strong velocity increase of 300 m/s existed beneath a gently dipping reflector along which low-velocity zones, possibly related to gas, were present. Velocity models were highly consistent at the crossing point between the two profiles. The depth extent of the MCS waveform tomography constrained by refractions could be extended by even longer streamers (e.g., 15 km) or by joint inversion with data from ocean-bottom seismographs.",10.1190/1.3587219
A Fourier Method For Borehole Electromagnetic Problems,"The induction logging problem is solved for a two‐coil sonde in a borehole surrounded by a bedding sequence which varies arbitrarily in the vertical direction. The solution is based on parallel computation of 500–1000 m of log data. Both the R and X components of the voltage log are modeled. The problem is solved in the spatial‐frequency domain in which a transfer function relates the anomalous borehole voltage for a two‐coil sonde to the conductivity spectrum of the formation, resulting in a natural extension of Doll's geometric factor theory. This computationally compact formulation does not require matrices and is designed as a computer aid for log analysts. The mathematical method (with proper conditioning) can efficiently solve the inverse problem of transforming the voltage induced in the receiving coil to a formation conductivity log. This paper establishes the forward method. Numerical results are given for beds of finite thickness for both brine‐ and oil‐base muds. The Fourier method is in good agreement with both a finite‐element method and a semi‐analytic method.",10.1190/1.1442173
Amplitude Preprocessing Of Single And Multicomponent Seismic Data,"Whenever the data acquisition is restricted to line surveys rather than areal surveys, seismic processing is necessarily in two dimensions. In this paper it is argued that two‐dimensional (2-D) processing is preferably applied after transforming the point source responses into line source responses. The effect of this transformation is a correction of the amplitudes in the data. For single‐component acoustic data as well as for multicomponent elastic data a line source response is nothing but a superposition of point source responses. Hence, in principle a line source response can be synthesized by integrating point source responses along the desired line source axis. In practice, however, this integration cannot be carried out due to the incompleteness of the data. It is shown that the integration along the source axis can be replaced by an integration along the receiver axis. The underlying assumption is that the wavefields exhibit a certain type of cylindrical symmetry. For horizontally layered acoustic and elastic media this assumption is fully satisfied. For 2-D inhomogeneous media this assumption is approximately satisfied, provided the data are sorted in CMP gathers. Having transformed the point source responses into line source responses, the results may be considered as ""true amplitude"" 2-D data. Hence, proceeding with existing 2-D seismic processing techniques is then justified.",10.1190/1.1443331
"Integrating 3-D Seismic Imaging And Seismic Attribute Analysis With Genetic Stratigraphy: Implications For Infield Reserve Growth And Field Extension, Budare Field, Venezuela","Despite being a mature oil producer, the Budare Field in the Eastern Venezuela Basin offers considerable reserve growth potential because of stratigraphic and structural complexity. Our ability to resolve these complexities was enhanced following acquisition in 1995 of a 3-D seismic data set over a large part of the field. The seismic data were tied by synthetic to well‐log data by several wells having sonic and density information and then integrated with the high‐resolution genetic stratigraphic framework established from well‐log correlations. Two key surfaces identified on the seismic data correlated directly to two stratigraphically defined sequence boundaries, maximum flooding surfaces (MFS) 80 and 100. A third seismic surface correlated approximately with the stratigraphically defined MFS 62. Collectively, these surfaces form fundamental control surfaces from which seismic attribute analysis and imaging from inverse modeling were undertaken. Four depositional trends detected by the seismic imaging and attribute analysis have important implications for reserve growth potential, guiding future field development. An incised valley, filled primarily with thick fluvial sandstones, was detected by mapping average seismic amplitudes between the MFS 62 and 80 markers, and several step‐out drilling locations were identified where the sandstones intersect structurally high positions. The distribution of thick distributary‐mouth‐bar facies, and moreover, the boundary with adjacent thin‐bedded strandplain facies, were similarly detected by mapping average seismic amplitudes in a 35-ms time window below MFS 80. The mouth‐bar facies coincide with the crestal position of a potentially large, structurally defined field extension supporting multiple potential infill wells. Several high‐negative‐amplitude anomalies coinciding with thick fluvial sandstones overlying MFS 62 display faulted boundaries and are interpreted as direct hydrocarbon indicators, providing obvious infill drilling locations, and finally, a marine ravinement surface separating the key oil‐producing reservoirs below MFS 80 was identified by seismic inversion.",10.1190/1.1444254
Induction Logging For Vertical Structures In The Presence Of A Borehole Fluid,"Mapping hydraulic fractures with borehole instrumentation presents many problems. The resulting fracture eddy currents can be expected to be smaller than the corresponding borehole fluid currents. The transmitting and receiver coils are vertical and are in close proximity to each other. This orientation is necessary to couple strongly to vertical structures and is much more difficult to analyze than the case of horizontal coils. The coils must be physically but not electrically isolated from probable hostile temperature and pressure environment. Analytic expressions are presented which predict the effect of the cavity, misalignment of the coils in the cavity, and an upper bound on the effect of the borehole fluid.",10.1190/1.1441141
Wavelengths Of Earth Structures That Can Be Resolved From Seismic Reflection Data,"The aim of inverting seismic waveforms is to obtain the ""best"" earth model. The best model is defined as the one producing seismograms that best match (usually under a least‐squares criterion) those recorded. Our approach is nonlinear in the sense that we synthesize seismograms without using any linearization of the elastic wave equation. Since we use rather complete data sets without any spatial aliasing, we do not have the problem of secondary minima (Tarantola, 1986). Nevertheless, our gradient methods fail to converge if the starting earth model is far from the true earth (Mora, 1987; Kolb et al., 1986; Pica et al., 1989).",10.1190/1.1442719
Gravity Source Moment Inversion: A Versatile Approach To Characterize Position And 3-D Orientation Of Anomalous Bodies,"We present a 3-D gravity interpretation method based on the inversion of source moments employing the series derived from the gravity anomaly expansion in multipoles and retaining moments up to second order only. It presents the advantages of being essentially linear and allowing a straightforward computer implementation. The method requires neither an explicit assumption about the source geometry nor a priori knowledge about the density contrast distribution, which may even be nonuniform. The method assumes implicitly: (1) that the source fits in the interior of an imaginary sphere whose center coincides with the source center of mass and whose radius is smaller than the depth to the source center of mass relative to the measuring plane, and (2) that the spatial density distribution presents three ortogonal planes of symmetry intersecting at the source center of mass. The first assumption can be met by upward continuing the observed anomaly. When both assumptions are met, the method produces reliable and stable estimates of the total anomalous mass, the coordinates of the center of mass, the three principal axes directions of the anomalous body, and the relative importance among the axes. The method is particularly suited for interpreting compact, isolated or disjoint, but spatially correlated sources. The method is sensitive to an incomplete removal of the regional field (presumably superimposed on the residual anomaly of interest) because the unremoved part of the regional field may strongly affect the estimates of the residual source moments.",10.1190/1.1443870
An Approximation For The Xu‐White Velocity Model,"In 1995, S. Xu and R. E. White described a method for estimating compressional and shear‐wave velocities of shaley sandstones from porosity and shale content. Their model was able to predict the effect of increasing clay content on compressional‐wave velocity observed in laboratory measurements. A key step in the Xu‐White method estimates dry rock bulk and shear moduli for the sand/shale mixture. This step is performed numerically by applying the differential effective medium method to the Kuster‐Toksöz equations for ellipsoidal pores. This step is computationally intensive. Using reasonable assumptions about dry rock elastic properties, this step can be replaced with a set of approximations for dry rock bulk and shear moduli. Numerical experiments show an extremely close match between velocities obtained with these approximations and velocities computed with the differential effective medium method. These approximations simplify the application of the Xu‐White method, and make the method computationally more efficient. They also provide insight into the Xu‐White method. For example, these approximations show how the Xu‐White model is related to the critical porosity model.",10.1190/1.1512786
